countyFIPS,County Name,State,StateFIPS,As_of_1/22/2020,As_of_1/31/2020,As_of_2/1/2020,As_of_2/29/2020,As_of_3/1/2020,As_of_3/31/2020,As_of_4/1/2020,As_of_4/30/2020,As_of_5/1/2020,As_of_5/31/2020,As_of_6/1/2020,As_of_6/30/2020,As_of_7/1/2020,As_of_7/31/2020,As_of_8/1/2020,As_of_8/31/2020,As_of_9/1/2020,As_of_9/30/2020,As_of_10/1/2020,As_of_10/31/2020,As_of_11/1/2020,As_of_11/30/2020,As_of_12/1/2020,As_of_12/31/2020,As_of_1/1/2021,As_of_1/31/2021,As_of_2/1/2021,As_of_2/28/2021,As_of_3/1/2021,As_of_3/31/2021,As_of_4/1/2021,As_of_4/30/2021,As_of_5/1/2021,As_of_5/31/2021,As_of_6/1/2021,As_of_6/30/2021,As_of_7/1/2021,As_of_7/31/2021,As_of_8/1/2021,As_of_8/31/2021,As_of_9/1/2021,As_of_9/30/2021,As_of_10/1/2021,As_of_10/31/2021,As_of_11/1/2021,As_of_11/30/2021,As_of_12/1/2021,As_of_12/31/2021
0,Statewide Unallocated,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Autauga County ,AL,1,0,0,0,0,0,0,0,3,3,4,5,12,12,21,21,23,24,27,27,30,30,41,41,48,50,69,69,91,91,99,99,107,107,110,111,113,113,114,114,118,118,140,142,148,148,157,157,160
1003,Baldwin County ,AL,1,0,0,0,0,0,0,0,3,4,9,9,10,10,22,22,42,42,52,53,71,71,98,137,161,169,224,224,283,283,301,301,305,306,311,311,315,315,329,329,385,385,509,514,555,555,589,589,593
1005,Barbour County ,AL,1,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,7,7,7,7,9,9,11,11,32,33,40,40,51,51,55,55,56,56,59,59,60,60,61,61,65,65,71,71,76,76,80,80,81
1007,Bibb County ,AL,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,8,8,10,10,15,15,17,18,46,46,52,52,60,60,60,60,63,63,64,64,64,64,65,65,73,73,83,83,87,87,94,94,95
1009,Blount County ,AL,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,11,11,15,15,25,25,40,40,63,63,100,100,127,127,131,131,135,135,139,139,139,139,139,139,145,145,160,161,178,178,192,193,198
1011,Bullock County ,AL,1,0,0,0,0,0,0,0,0,0,5,6,10,10,12,12,14,14,15,15,17,17,19,19,22,22,29,29,36,36,40,40,40,41,42,42,42,42,42,42,41,41,44,44,44,44,45,45,46
1013,Butler County ,AL,1,0,0,0,0,0,0,0,1,1,18,18,27,27,36,36,37,37,40,40,41,41,42,42,45,45,60,60,66,66,66,66,69,69,71,71,71,71,72,72,75,75,90,90,97,96,100,101,102
1015,Calhoun County ,AL,1,0,0,0,0,0,0,0,3,3,3,3,5,5,9,9,36,38,44,44,65,65,121,121,156,157,232,232,286,286,305,305,312,312,324,324,330,330,334,334,354,354,428,429,492,495,518,519,532
1017,Chambers County ,AL,1,0,0,0,0,0,3,4,21,21,25,25,27,27,38,38,40,40,42,42,47,47,50,50,63,63,76,76,110,110,117,117,122,123,123,123,123,123,125,125,127,127,137,137,142,143,142,142,147
1019,Cherokee County ,AL,1,0,0,0,0,0,0,0,0,0,3,3,7,7,8,8,12,12,13,13,15,15,24,24,22,22,35,35,38,38,43,43,45,45,45,45,45,45,48,48,49,49,57,57,61,61,63,63,65
1021,Chilton County ,AL,1,0,0,0,0,0,0,0,1,1,1,1,3,3,6,6,13,13,30,30,33,33,38,39,54,54,79,79,100,100,109,109,111,111,115,115,116,116,117,117,120,120,146,146,163,164,170,170,173
1023,Choctaw County ,AL,1,0,0,0,0,0,0,0,0,0,8,10,12,12,12,12,12,12,12,12,12,12,13,14,22,22,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,27,27,27,27,28,28,30
1025,Clarke County ,AL,1,0,0,0,0,0,0,0,1,1,2,2,5,5,9,9,14,14,16,16,17,17,19,19,25,26,38,38,50,50,59,59,60,60,61,61,61,61,63,63,68,68,80,80,84,84,86,86,88
